JYUNI,"PLAYER NAME",SCORE,,,,,TOTAL,RATE,RANK,RANK+,NEXT,LEFT,RIGHT,FLIP,Platform
1,LESTY,1713,,,,,1713,99.13%,AAA,-15,0,MIRROR,,,AC
2,MILK,1711,,,,,1711,99.02%,AAA,-17,2,S-RANDOM,S-RANDOM,,AC
3,B,1707,,,,,1707,98.78%,AAA,-21,4,R-RANDOM,R-RANDOM,,INF
4,榊樹,1705,,,,,1705,98.67%,AAA,-23,2,RANDOM,RANDOM,,INF
5,るしし,1701,,,,,1701,98.44%,AAA,-27,4,,,,AC
6,真,1698,,,,,1698,98.26%,AAA,-30,3,RANDOM,RANDOM,,INF
7,MONA,1697,,,,,1697,98.21%,AAA,-31,1,S-RANDOM,S-RANDOM,FLIP,AC
8,つてん,1692,,,,,1692,97.92%,AAA,-36,5,,R-RANDOM,,AC
9,tachinin,1689,,,,,1689,97.74%,AAA,-39,3,,MIRROR,,AC
10,すいか,1688,,,,,1688,97.69%,AAA,-40,1,RANDOM,RANDOM,FLIP,AC
11,F-003,1684,,,,,1684,97.45%,AAA,-44,4,RANDOM,RANDOM,,AC
12,うしお,1682,,,,,1682,97.34%,AAA,-46,2,RANDOM,RANDOM,,INF
13,46NEKO,1681,,,,,1681,97.28%,AAA,-47,1,RANDOM,RANDOM,,INF
14,TOBA,1680,,,,,1680,97.22%,AAA,-48,1,MIRROR,,,AC
15,磯野家,1677,,,,,1677,97.05%,AAA,-51,3,R-RANDOM,R-RANDOM,,INF
16,コーギー,1674,,,,,1674,96.88%,AAA,-54,3,S-RANDOM,S-RANDOM,,INF
17,ふずにゃん,1673,,,,,1673,96.82%,AAA,-55,1,,,,AC
18,しろ,1671,,,,,1671,96.70%,AAA,-57,2,R-RANDOM,R-RANDOM,,INF
19,MIST,1668,,,,,1668,96.53%,AAA,-60,3,MIRROR,,,AC
20,明大前ヴェノム,1662,,,,,1662,96.18%,AAA,-66,6,,RANDOM,,AC
20,むつきゅ,1662,,,,,1662,96.18%,AAA,-66,0,,,,INF
20,鍵,1662,,,,,1662,96.18%,AAA,-66,0,RANDOM,RANDOM,,AC
23,夕立,1658,,,,,1658,95.95%,AAA,-70,4,,,,AC
24,ふぃれ,1651,,,,,1651,95.54%,AAA,-77,7,RANDOM,RANDOM,,AC
25,BAY.,1650,,,,,1650,95.49%,AAA,-78,1,S-RANDOM,S-RANDOM,FLIP,AC
25,ゆんゆんぼ,1650,,,,,1650,95.49%,AAA,-78,0,S-RANDOM,S-RANDOM,FLIP,AC
25,サイバイマソ,1650,,,,,1650,95.49%,AAA,-78,0,S-RANDOM,S-RANDOM,FLIP,AC
28,翔,1649,,,,,1649,95.43%,AAA,-79,1,S-RANDOM,S-RANDOM,FLIP,AC
29,塩ぱん,1646,,,,,1646,95.25%,AAA,-82,3,,,,AC
30,みおー,1645,,,,,1645,95.20%,AAA,-83,1,S-RANDOM,S-RANDOM,FLIP,AC
31,しろてぃー,1644,,,,,1644,95.14%,AAA,-84,1,S-RANDOM,S-RANDOM,,AC
32,ゆずポン酢,1640,,,,,1640,94.91%,AAA,-88,4,,,,AC
32,JUDGE.,1640,,,,,1640,94.91%,AAA,-88,0,S-RANDOM,S-RANDOM,FLIP,AC
34,にゃむ,1639,,,,,1639,94.85%,AAA,-89,1,S-RANDOM,S-RANDOM,FLIP,AC
35,しぐはら,1637,,,,,1637,94.73%,AAA,-91,2,,MIRROR,,AC
36,VOLGA,1636,,,,,1636,94.68%,AAA,-92,1,R-RANDOM,R-RANDOM,,AC
37,かねく,1632,,,,,1632,94.44%,AAA,-96,4,S-RANDOM,S-RANDOM,,INF
37,YouS,1632,,,,,1632,94.44%,AAA,-96,0,S-RANDOM,S-RANDOM,FLIP,AC
39,でんじ,1631,,,,,1631,94.39%,AAA,+95,1,MIRROR,RANDOM,,INF
39,ジョン,1631,,,,,1631,94.39%,AAA,+95,0,,,,AC
41,いにょ太郎,1630,,,,,1630,94.33%,AAA,+94,1,,,,INF
42,金糸雀,1628,,,,,1628,94.21%,AAA,+92,2,R-RANDOM,R-RANDOM,,AC
43,茜ちゃんは可愛いですか？,1624,,,,,1624,93.98%,AAA,+88,4,,,,AC
44,ねこ,1615,,,,,1615,93.46%,AAA,+79,9,MIRROR,R-RANDOM,,AC
45,もつ,1613,,,,,1613,93.34%,AAA,+77,2,,,,INF
46,きつね,1608,,,,,1608,93.06%,AAA,+72,5,,,,AC
47,Cube,1607,,,,,1607,93.00%,AAA,+71,1,,,,AC
48,COLONE,1604,,,,,1604,92.82%,AAA,+68,3,R-RANDOM,RANDOM,,AC
48,CLONE,1604,,,,,1604,92.82%,AAA,+68,0,MIRROR,,,AC
50,GO,1603,,,,,1603,92.77%,AAA,+67,1,,MIRROR,,AC
51,メロリーヌ,1601,,,,,1601,92.65%,AAA,+65,2,S-RANDOM,S-RANDOM,,AC
52,さくら,1600,,,,,1600,92.59%,AAA,+64,1,RANDOM,RANDOM,,AC
53,つがさん,1599,,,,,1599,92.53%,AAA,+63,1,R-RANDOM,R-RANDOM,,INF
54,奪還,1597,,,,,1597,92.42%,AAA,+61,2,MIRROR,,,INF
55,ヴァーユ,1595,,,,,1595,92.30%,AAA,+59,2,R-RANDOM,S-RANDOM,FLIP,AC
56,かばね,1594,,,,,1594,92.25%,AAA,+58,1,RANDOM,RANDOM,,INF
57,ヒロヤマ,1591,,,,,1591,92.07%,AAA,+55,3,RANDOM,RANDOM,,INF
58,べた,1587,,,,,1587,91.84%,AAA,+51,4,RANDOM,MIRROR,FLIP,AC
59,とまて～,1586,,,,,1586,91.78%,AAA,+50,1,,,FLIP,AC
59,γυηυ,1586,,,,,1586,91.78%,AAA,+50,0,,,,AC
61,みとば,1578,,,,,1578,91.32%,AAA,+42,8,S-RANDOM,S-RANDOM,FLIP,INF
61,荒,1578,,,,,1578,91.32%,AAA,+42,0,,,,INF
61,いなかずくん,1578,,,,,1578,91.32%,AAA,+42,0,,,,AC
64,えむ,1572,,,,,1572,90.97%,AAA,+36,6,,,,AC
64,エナタル,1572,,,,,1572,90.97%,AAA,+36,0,MIRROR,,,AC
66,かんじ,1570,,,,,1570,90.86%,AAA,+34,2,,,,AC
67,どどすこい,1561,,,,,1561,90.34%,AAA,+25,9,,,,INF
68,96NEKO,1559,,,,,1559,90.22%,AAA,+23,2,,,,AC
69,husqy,1557,,,,,1557,90.10%,AAA,+21,2,MIRROR,,,INF
69,MOYA,1557,,,,,1557,90.10%,AAA,+21,0,,,,AC
71,少年☆,1554,,,,,1554,89.93%,AAA,+18,3,,,,AC
72,ノリダー,1544,,,,,1544,89.35%,AAA,+8,10,MIRROR,MIRROR,,AC
73,ryo,1542,,,,,1542,89.24%,AAA,+6,2,,,,INF
73,くろ,1542,,,,,1542,89.24%,AAA,+6,0,,,,AC
75,鼻毛スペシャル,1536,,,,,1536,88.89%,AAA,+0,6,,,,INF
76,CHIHUA,1529,,,,,1529,88.48%,AA,+185,7,,,,INF
77,YAMAN.,1527,,,,,1527,88.37%,AA,+183,2,S-RANDOM,S-RANDOM,,AC
78,彩華,1484,,,,,1484,85.88%,AA,+140,43,,,,AC
79,むらさき,1481,,,,,1481,85.71%,AA,+137,3,S-RANDOM,S-RANDOM,FLIP,AC
80,TOTTIE,1479,,,,,1479,85.59%,AA,+135,2,,,,AC
81,SHA9N5,1458,,,,,1458,84.38%,AA,+114,21,,,,AC
82,WOOJIN,1456,,,,,1456,84.26%,AA,+112,2,,,,AC
83,冷たい夜,1377,,,,,1377,79.69%,AA,+33,79,,,,AC
84,ちょりぞー,1333,,,,,1333,77.14%,A,+181,44,,,,AC
999,AVERAGE,1609.9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1609.928571,93.17%,AAA,+1610,,,,,